# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000019
0.725000 0.000000 -0.000123
0.775000 0.000000 -0.000404
0.825000 0.000195 -0.000730
0.875000 0.001588 -0.001069
0.925000 0.007214 -0.001062
0.975000 0.023936 0.007565
1.025000 0.074912 0.068147
1.075000 0.225635 0.236796
1.125000 0.591362 0.611313
1.175000 1.191642 1.251473
1.225000 2.118337 2.164087
1.275000 3.168746 3.211008
1.325000 4.176042 4.108959
1.375000 4.697907 4.575572
1.425000 4.501134 4.452586
1.475000 3.809604 3.781653
1.525000 2.779886 2.809611
1.575000 1.789490 1.843776
1.625000 1.024368 1.080453
1.675000 0.616314 0.627557
1.725000 0.454069 0.456836
1.775000 0.499270 0.496017
1.825000 0.656313 0.652885
1.875000 0.870743 0.866991
1.925000 1.076628 1.061149
1.975000 1.231572 1.214936
2.025000 1.285214 1.296199
2.075000 1.346099 1.325154
2.125000 1.308153 1.321152
2.175000 1.327605 1.329973
2.225000 1.339464 1.361622
2.275000 1.432996 1.428561
2.325000 1.508177 1.501613
2.375000 1.551284 1.547289
2.425000 1.568700 1.555964
2.475000 1.499168 1.520725
2.525000 1.472370 1.450517
2.575000 1.342016 1.347169
2.625000 1.234462 1.227715
2.675000 1.099882 1.103739
2.725000 1.002152 1.019947
2.775000 0.967922 0.963431
2.825000 0.962703 0.959380
2.875000 0.955237 0.972242
2.925000 1.014487 0.988333
2.975000 0.990522 1.002174
3.025000 1.001871 1.001405
3.075000 0.989427 0.979194
3.125000 0.947369 0.956008
3.175000 0.919195 0.915487
3.225000 0.879270 0.877843
3.275000 0.834758 0.845676
3.325000 0.818890 0.812393
3.375000 0.781907 0.776257
3.425000 0.740819 0.741051
3.475000 0.696926 0.704250
3.525000 0.683357 0.681617
3.575000 0.666945 0.671838
3.625000 0.671533 0.665540
3.675000 0.663005 0.657180
3.725000 0.643760 0.650834
3.775000 0.645790 0.643894
3.825000 0.651748 0.652614
3.875000 0.663768 0.673255
3.925000 0.704524 0.689660
3.975000 0.716762 0.712819
4.025000 0.722898 0.736741
4.075000 0.782177 0.775313
4.125000 0.823501 0.836077
4.175000 0.919447 0.907198
4.225000 0.985814 0.985572
4.275000 1.054624 1.064038
4.325000 1.152732 1.140922
4.375000 1.206225 1.220513
4.425000 1.299436 1.289891
4.475000 1.345852 1.342929
4.525000 1.377806 1.385678
4.575000 1.401587 1.394450
4.625000 1.400440 1.391067
4.675000 1.358612 1.374724
4.725000 1.355830 1.354360
4.775000 1.330535 1.325239
4.825000 1.309730 1.301365
4.875000 1.255738 1.275518
4.925000 1.259626 1.250055
4.975000 1.243110 1.238612
5.025000 1.214850 1.232721
5.075000 1.235994 1.215106
5.125000 1.196757 1.199156
5.175000 1.174553 1.188349
5.225000 1.169059 1.164723
5.275000 1.161908 1.149050
5.325000 1.112716 1.124326
5.375000 1.099716 1.093921
5.425000 1.061626 1.064401
5.475000 1.045431 1.048477
5.525000 1.027815 1.028141
5.575000 1.023806 1.017061
5.625000 0.990889 1.000502
5.675000 0.988641 0.975886
5.725000 0.949772 0.951316
5.775000 0.921127 0.935836
5.825000 0.925010 0.918485
5.875000 0.914727 0.904085
5.925000 0.886175 0.889862
5.975000 0.866287 0.876371
6.025000 0.873558 0.871990
6.075000 0.877831 0.867961
6.125000 0.873134 0.872038
6.175000 0.858144 0.876765
6.225000 0.899370 0.887449
6.275000 0.900603 0.894333
6.325000 0.909073 0.907877
6.375000 0.901303 0.922758
6.425000 0.952977 0.943291
6.475000 0.975136 0.956605
6.525000 0.965995 0.978216
6.575000 0.972177 0.991002
6.625000 1.026685 1.003496
6.675000 1.019849 1.018554
6.725000 1.014636 1.026445
6.775000 1.028583 1.022179
6.825000 1.033761 1.036324
6.875000 1.037346 1.047000
6.925000 1.071461 1.050839
6.975000 1.043849 1.053559
7.025000 1.046882 1.051358
7.075000 1.052273 1.048730
7.125000 1.046796 1.048140
7.175000 1.053230 1.047346
7.225000 1.026484 1.038813
7.275000 1.041027 1.021378
7.325000 1.002077 1.009572
7.375000 0.988968 1.009425
7.425000 1.021311 1.004756
7.475000 1.015210 1.005640
7.525000 0.990465 0.999081
7.575000 0.984971 0.989171
7.625000 0.988171 0.984624
7.675000 1.002072 0.996825
7.725000 1.001624 1.022139
7.775000 1.054102 1.045321
7.825000 1.078119 1.057846
7.875000 1.056207 1.067846
7.925000 1.051969 1.070361
7.975000 1.075280 1.059251
8.025000 1.067051 1.046369
8.075000 1.001212 1.028921
8.125000 1.006413 1.004570
8.175000 1.008649 0.996620
8.225000 0.994892 1.007925
8.275000 1.021673 1.022952
8.325000 1.036950 1.033779
8.375000 1.053712 1.036318
8.425000 1.017509 1.028017
8.475000 1.010748 1.020898
8.525000 1.023766 1.016801
8.575000 1.029885 1.027666
8.625000 1.030458 1.034355
8.675000 1.046905 1.043855
8.725000 1.045747 1.052157
8.775000 1.069769 1.061210
8.825000 1.058025 1.059290
8.875000 1.065325 1.065644
8.925000 1.050684 1.063311
8.975000 1.083567 1.066732
9.025000 1.049755 1.055807
9.075000 1.051200 1.041694
9.125000 1.009882 1.025114
9.175000 1.017997 1.021159
9.225000 1.021988 1.009916
9.275000 1.002536 0.996507
9.325000 0.967280 0.975008
9.375000 0.948986 0.955740
9.425000 0.953952 0.946723
9.475000 0.948373 0.954461
9.525000 0.954256 0.958717
9.575000 0.970090 0.949222
9.625000 0.933428 0.937853
9.675000 0.910839 0.924365
9.725000 0.926403 0.921730
9.775000 0.934948 0.940933
9.825000 0.964894 0.960376
9.875000 0.978996 0.968768
9.925000 0.967738 0.973432
9.975000 0.965381 0.970062
10.025000 0.976403 0.975332
10.075000 0.976174 0.978119
10.125000 0.993470 0.979478
10.175000 0.963908 0.978204
10.225000 0.982178 0.979538
10.275000 0.985361 0.979608
10.325000 0.995374 1.002316
10.375000 1.007376 1.020483
10.425000 1.058988 1.030278
10.475000 1.035539 1.037364
10.525000 1.022997 1.045944
10.575000 1.059481 1.050839
10.625000 1.082936 1.074890
10.675000 1.088648 1.097352
10.725000 1.119466 1.113860
10.775000 1.126473 1.132674
10.825000 1.151213 1.147456
10.875000 1.159706 1.156530
10.925000 1.151213 1.159183
10.975000 1.156867 1.143720
11.025000 1.128222 1.129792
11.075000 1.100220 1.114387
11.125000 1.116960 1.106633
11.175000 1.099773 1.109958
11.225000 1.119001 1.106898
11.275000 1.103661 1.098935
11.325000 1.080132 1.099796
11.375000 1.099790 1.092770
11.425000 1.103776 1.090608
11.475000 1.077345 1.091546
11.525000 1.079409 1.077559
11.575000 1.078887 1.067485
11.625000 1.046911 1.064274
11.675000 1.058501 1.049429
11.725000 1.046464 1.039288
11.775000 1.012945 1.030744
11.825000 1.024213 1.009195
11.875000 0.992237 0.990931
11.925000 0.963724 0.973167
11.975000 0.960524 0.956815
