# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 0.000000
0.725000 0.000000 -0.000046
0.775000 0.000000 -0.000114
0.825000 0.000000 -0.001061
0.875000 0.000487 -0.002481
0.925000 0.001933 -0.002847
0.975000 0.015506 0.003301
1.025000 0.056813 0.041605
1.075000 0.169854 0.167490
1.125000 0.451362 0.473913
1.175000 0.997536 1.054284
1.225000 1.878004 1.952041
1.275000 2.992572 3.028158
1.325000 4.096319 4.024566
1.375000 4.698578 4.616890
1.425000 4.694122 4.596144
1.475000 4.013276 3.973460
1.525000 2.969766 3.005493
1.575000 1.912028 1.986414
1.625000 1.136383 1.172737
1.675000 0.659593 0.679286
1.725000 0.468377 0.482084
1.775000 0.522403 0.510632
1.825000 0.672238 0.679423
1.875000 0.924327 0.904617
1.925000 1.128113 1.124722
1.975000 1.294229 1.289552
2.025000 1.394287 1.366697
2.075000 1.371870 1.372241
2.125000 1.328763 1.331427
2.175000 1.288976 1.305848
2.225000 1.308864 1.334238
2.275000 1.413722 1.399141
2.325000 1.496989 1.486187
2.375000 1.546375 1.562752
2.425000 1.598870 1.588681
2.475000 1.587413 1.563821
2.525000 1.483833 1.492763
2.575000 1.373768 1.384700
2.625000 1.267161 1.262141
2.675000 1.155617 1.148974
2.725000 1.037500 1.045067
2.775000 0.965324 0.970882
2.825000 0.919218 0.927415
2.875000 0.926673 0.910464
2.925000 0.910799 0.913224
2.975000 0.922228 0.936188
3.025000 0.967360 0.966925
3.075000 1.010192 1.000216
3.125000 1.018381 1.012176
3.175000 0.997404 0.998016
3.225000 0.959274 0.964448
3.275000 0.927000 0.926596
3.325000 0.883141 0.887289
3.375000 0.846061 0.840244
3.425000 0.789305 0.780653
3.475000 0.719107 0.726124
3.525000 0.665872 0.678325
3.575000 0.657735 0.651185
3.625000 0.630656 0.632951
3.675000 0.622553 0.609380
3.725000 0.577404 0.578459
3.775000 0.547985 0.559070
3.825000 0.547337 0.550825
3.875000 0.567965 0.560511
3.925000 0.577060 0.571351
3.975000 0.589017 0.589369
4.025000 0.603806 0.614991
4.075000 0.670202 0.663887
4.125000 0.725696 0.733265
4.175000 0.819739 0.815748
4.225000 0.899473 0.889836
4.275000 0.976375 0.978266
4.325000 1.045299 1.070247
4.375000 1.179513 1.160268
4.425000 1.253020 1.242279
4.475000 1.297618 1.310273
4.525000 1.351960 1.355241
4.575000 1.392544 1.386045
4.625000 1.411525 1.400809
4.675000 1.389613 1.399714
4.725000 1.388713 1.390360
4.775000 1.391701 1.390715
4.825000 1.391775 1.403976
4.875000 1.418069 1.410471
4.925000 1.409908 1.398060
4.975000 1.367093 1.362289
5.025000 1.307820 1.318652
5.075000 1.268222 1.280343
5.125000 1.271640 1.259486
5.175000 1.241728 1.246301
5.225000 1.236877 1.233922
5.275000 1.205938 1.211433
5.325000 1.188861 1.177186
5.375000 1.138413 1.130569
5.425000 1.076519 1.095579
5.475000 1.061982 1.069197
5.525000 1.074615 1.061525
5.575000 1.054693 1.056513
5.625000 1.044565 1.038105
5.675000 1.008374 1.012503
5.725000 0.984598 0.987068
5.775000 0.971913 0.971582
5.825000 0.950815 0.959213
5.875000 0.961121 0.940620
5.925000 0.916000 0.922316
5.975000 0.897747 0.911171
6.025000 0.907754 0.903122
6.075000 0.914223 0.908007
6.125000 0.908282 0.908565
6.175000 0.905569 0.904920
6.225000 0.902782 0.909375
6.275000 0.916482 0.917497
6.325000 0.939323 0.932952
6.375000 0.934638 0.940061
6.425000 0.952318 0.935835
6.475000 0.922079 0.933708
6.525000 0.930578 0.944958
6.575000 0.965370 0.952459
6.625000 0.982723 0.970108
6.675000 0.965232 0.982735
6.725000 0.996532 0.999601
6.775000 1.013793 1.009008
6.825000 1.035533 1.017082
6.875000 0.991147 1.008143
6.925000 1.001733 0.998530
6.975000 0.991996 1.000668
7.025000 1.007462 1.006136
7.075000 1.021633 1.001635
7.125000 0.976191 0.992264
7.175000 0.978313 0.975419
7.225000 0.963237 0.962280
7.275000 0.961792 0.966984
7.325000 0.968151 0.970324
7.375000 0.982580 0.974254
7.425000 0.972246 0.968923
7.475000 0.958150 0.962259
7.525000 0.947231 0.953566
7.575000 0.962640 0.954550
7.625000 0.957915 0.967550
7.675000 0.977894 0.973506
7.725000 0.993722 0.980005
7.775000 0.968312 0.988762
7.825000 1.004922 0.998405
7.875000 1.008214 1.006571
7.925000 1.024271 1.020137
7.975000 1.012646 1.020458
8.025000 1.025045 1.016226
8.075000 1.012727 1.011738
8.125000 1.003890 1.015015
8.175000 1.027425 1.025145
8.225000 1.043929 1.045614
8.275000 1.067229 1.062111
8.325000 1.070308 1.064850
8.375000 1.057331 1.062872
8.425000 1.049090 1.051394
8.475000 1.050937 1.045788
8.525000 1.032012 1.039484
8.575000 1.043229 1.034877
8.625000 1.021346 1.025402
8.675000 1.028279 1.023665
8.725000 1.014900 1.026220
8.775000 1.041950 1.039192
8.825000 1.054985 1.051630
8.875000 1.058793 1.055562
8.925000 1.054228 1.049922
8.975000 1.027981 1.040126
9.025000 1.040012 1.034422
9.075000 1.026484 1.029664
9.125000 1.032265 1.024445
9.175000 1.012956 1.017413
9.225000 1.005226 1.013306
9.275000 1.014453 1.004160
9.325000 0.996371 0.994484
9.375000 0.977275 0.980889
9.425000 0.964779 0.964004
9.475000 0.962451 0.963450
9.525000 0.964711 0.974571
9.575000 1.001034 0.996557
9.625000 1.011918 1.005115
9.675000 1.021713 1.012008
9.725000 0.981117 1.006001
9.775000 1.012537 0.996778
9.825000 0.984661 0.981478
9.875000 0.967486 0.973453
9.925000 0.946933 0.955530
9.975000 0.951234 0.936898
10.025000 0.924264 0.916756
10.075000 0.888216 0.908454
10.125000 0.904371 0.906288
10.175000 0.936811 0.924202
10.225000 0.941026 0.949258
10.275000 0.971059 0.962267
10.325000 0.975555 0.975154
10.375000 0.981668 0.998219
10.425000 1.017991 1.009671
10.475000 1.035218 1.016569
10.525000 1.003568 1.018449
10.575000 1.009710 1.015928
10.625000 1.025481 1.021094
10.675000 1.037105 1.035423
10.725000 1.044382 1.044008
10.775000 1.044846 1.044710
10.825000 1.045781 1.042010
10.875000 1.036285 1.045025
10.925000 1.042598 1.044366
10.975000 1.055891 1.037825
11.025000 1.026094 1.033242
11.075000 1.022751 1.037059
11.125000 1.047307 1.046802
11.175000 1.076788 1.058196
11.225000 1.067137 1.070722
11.275000 1.056723 1.072663
11.325000 1.094153 1.079665
11.375000 1.082368 1.093884
11.425000 1.110864 1.101994
11.475000 1.100536 1.093685
11.525000 1.086308 1.093629
11.575000 1.079765 1.090224
11.625000 1.108748 1.099524
11.675000 1.106924 1.113463
11.725000 1.117321 1.108289
11.775000 1.100593 1.089952
11.825000 1.045305 1.065793
11.875000 1.047456 1.036743
11.925000 1.018284 1.015466
11.975000 1.008374 1.010901
