# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000009
0.725000 0.000000 -0.000407
0.775000 0.000000 -0.000399
0.825000 0.000097 -0.000898
0.875000 0.004416 -0.001405
0.925000 0.011108 0.002945
0.975000 0.039678 0.030308
1.025000 0.123341 0.118663
1.075000 0.325395 0.331768
1.125000 0.718603 0.754526
1.175000 1.371096 1.426059
1.225000 2.286202 2.308071
1.275000 3.256693 3.270537
1.325000 4.089426 4.060646
1.375000 4.536981 4.425539
1.425000 4.328188 4.260082
1.475000 3.607716 3.611210
1.525000 2.674529 2.697117
1.575000 1.741130 1.790426
1.625000 1.045191 1.079535
1.675000 0.610751 0.633778
1.725000 0.453157 0.453801
1.775000 0.462505 0.468723
1.825000 0.608922 0.598711
1.875000 0.780944 0.766004
1.925000 0.925761 0.919156
1.975000 1.032729 1.025898
2.025000 1.084003 1.079539
2.075000 1.106924 1.098716
2.125000 1.094795 1.107131
2.175000 1.127695 1.135224
2.225000 1.188981 1.196206
2.275000 1.287514 1.292148
2.325000 1.386064 1.381874
2.375000 1.461262 1.439334
2.425000 1.452522 1.459260
2.475000 1.422433 1.433396
2.525000 1.393106 1.373051
2.575000 1.293925 1.300081
2.625000 1.211461 1.215833
2.675000 1.142616 1.138591
2.725000 1.086641 1.103161
2.775000 1.080676 1.086258
2.825000 1.107050 1.079747
2.875000 1.073766 1.084347
2.925000 1.070842 1.084955
2.975000 1.094268 1.083477
3.025000 1.081990 1.081227
3.075000 1.062905 1.055941
3.125000 1.009882 1.011985
3.175000 0.952920 0.960511
3.225000 0.908339 0.901708
3.275000 0.847443 0.847962
3.325000 0.788055 0.793457
3.375000 0.746347 0.741193
3.425000 0.690646 0.692655
3.475000 0.653824 0.650514
3.525000 0.609346 0.615011
3.575000 0.593559 0.593024
3.625000 0.579767 0.581876
3.675000 0.576515 0.573689
3.725000 0.572902 0.563961
3.775000 0.549258 0.556558
3.825000 0.556954 0.558507
3.875000 0.572409 0.575940
3.925000 0.611737 0.607236
3.975000 0.650463 0.647378
4.025000 0.688823 0.694223
4.075000 0.753125 0.750555
4.125000 0.812180 0.819806
4.175000 0.895769 0.890107
4.225000 0.965726 0.953390
4.275000 1.012704 1.024883
4.325000 1.082701 1.096250
4.375000 1.184055 1.167154
4.425000 1.236028 1.234648
4.475000 1.275964 1.278219
4.525000 1.312540 1.310188
4.575000 1.322512 1.338705
4.625000 1.367426 1.352208
4.675000 1.353468 1.349408
4.725000 1.320402 1.327226
4.775000 1.289200 1.280046
4.825000 1.236860 1.238917
4.875000 1.197457 1.214720
4.925000 1.202457 1.198235
4.975000 1.211174 1.198900
5.025000 1.184651 1.199537
5.075000 1.196098 1.186640
5.125000 1.165457 1.159762
5.175000 1.127368 1.125390
5.225000 1.082299 1.090056
5.275000 1.061253 1.073104
5.325000 1.073841 1.068059
5.375000 1.071174 1.060149
5.425000 1.047570 1.046717
5.475000 1.008540 1.020541
5.525000 1.004165 0.993320
5.575000 0.970864 0.976538
5.625000 0.958638 0.964497
5.675000 0.961063 0.951006
5.725000 0.939616 0.941667
5.775000 0.930928 0.932816
5.825000 0.921437 0.922976
5.875000 0.926374 0.923123
5.925000 0.919361 0.926024
5.975000 0.933090 0.925090
6.025000 0.928318 0.929794
6.075000 0.916608 0.925646
6.125000 0.938440 0.919041
6.175000 0.895694 0.913085
6.225000 0.912932 0.907177
6.275000 0.900305 0.895852
6.325000 0.898705 0.903031
6.375000 0.897013 0.906479
6.425000 0.930154 0.915274
6.475000 0.924534 0.925441
6.525000 0.932413 0.944554
6.575000 0.956177 0.952882
6.625000 0.987517 0.971224
6.675000 0.967257 0.989112
6.725000 1.008684 0.999033
6.775000 1.015875 1.011102
6.825000 1.013988 1.022637
6.875000 1.036021 1.023218
6.925000 1.024402 1.039472
6.975000 1.049331 1.053193
7.025000 1.086577 1.065392
7.075000 1.061982 1.074755
7.125000 1.080092 1.077172
7.175000 1.071065 1.078323
7.225000 1.088206 1.080388
7.275000 1.082001 1.078145
7.325000 1.060628 1.074253
7.375000 1.072946 1.057622
7.425000 1.048907 1.050084
7.475000 1.031989 1.045773
7.525000 1.061666 1.051135
7.575000 1.061534 1.075309
7.625000 1.104154 1.094329
7.675000 1.116134 1.107305
7.725000 1.095363 1.112444
7.775000 1.110646 1.094032
7.825000 1.074925 1.073819
7.875000 1.040528 1.056528
7.925000 1.041629 1.033012
7.975000 1.030017 1.028177
8.025000 1.013598 1.026239
8.075000 1.032850 1.016815
8.125000 1.010020 1.009783
8.175000 0.997633 1.010570
8.225000 1.009114 1.007649
8.275000 1.027849 1.017531
8.325000 1.015583 1.026414
8.375000 1.033584 1.026775
8.425000 1.024288 1.018770
8.475000 1.013954 1.018254
8.525000 1.009601 1.021678
8.575000 1.040465 1.033440
8.625000 1.054326 1.048632
8.675000 1.053575 1.059048
8.725000 1.059298 1.054173
8.775000 1.051023 1.050205
8.825000 1.036009 1.046697
8.875000 1.047553 1.040043
8.925000 1.034719 1.031233
8.975000 1.018891 1.024030
9.025000 1.003741 1.005144
9.075000 1.001504 0.989863
9.125000 0.966764 0.979795
9.175000 0.974941 0.975789
9.225000 0.979248 0.973553
9.275000 0.980750 0.979134
9.325000 0.974184 0.980228
9.375000 0.982058 0.979508
9.425000 0.980750 0.973734
9.475000 0.970726 0.972825
9.525000 0.965135 0.979808
9.575000 0.995001 0.987785
9.625000 1.011941 1.000689
9.675000 0.994152 1.008321
9.725000 1.008552 0.998238
9.775000 0.991824 0.987787
9.825000 0.968748 0.982326
9.875000 0.982396 0.977966
9.925000 0.984398 0.982642
9.975000 0.994129 0.993528
10.025000 0.999554 1.005650
10.075000 1.017853 1.015768
10.125000 1.030894 1.019193
10.175000 1.015605 1.022215
10.225000 1.018473 1.023481
10.275000 1.039892 1.036251
10.325000 1.056522 1.065548
10.375000 1.097869 1.097820
10.425000 1.123291 1.111225
10.475000 1.119896 1.109161
10.525000 1.076077 1.091778
10.575000 1.075957 1.080213
10.625000 1.075768 1.079601
10.675000 1.090878 1.075653
10.725000 1.072017 1.067359
10.775000 1.032127 1.050879
10.825000 1.053122 1.039692
10.875000 1.031187 1.044731
10.925000 1.060961 1.058274
10.975000 1.067688 1.057614
11.025000 1.059424 1.056793
11.075000 1.034799 1.046850
11.125000 1.038968 1.038234
11.175000 1.037822 1.029846
11.225000 1.022355 1.027158
11.275000 1.007772 1.009845
11.325000 1.007399 0.993609
11.375000 0.964619 0.979408
11.425000 0.977780 0.973524
11.475000 0.972556 0.979864
11.525000 0.996056 0.994711
11.575000 1.009160 0.996785
11.625000 0.990149 0.992890
11.675000 0.974155 0.981124
11.725000 0.966723 0.966999
11.775000 0.961734 0.953605
11.825000 0.938641 0.940995
11.875000 0.921735 0.926496
11.925000 0.922997 0.917243
11.975000 0.915628 0.917435
