# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 -0.000003
0.675000 0.000000 -0.000082
0.725000 0.000000 -0.000399
0.775000 0.000034 -0.000163
0.825000 0.000918 -0.000147
0.875000 0.005666 0.000325
0.925000 0.013081 0.007050
0.975000 0.041479 0.032958
1.025000 0.120686 0.118805
1.075000 0.295558 0.297295
1.125000 0.651335 0.654767
1.175000 1.177013 1.255401
1.225000 2.043575 2.077946
1.275000 3.027238 3.028564
1.325000 3.886076 3.878006
1.375000 4.457390 4.353297
1.425000 4.384629 4.320657
1.475000 3.801375 3.777808
1.525000 2.902705 2.903611
1.575000 1.911535 1.980550
1.625000 1.167138 1.209598
1.675000 0.680536 0.696811
1.725000 0.442359 0.442521
1.775000 0.376640 0.373225
1.825000 0.423412 0.425603
1.875000 0.547607 0.534649
1.925000 0.671768 0.661930
1.975000 0.776505 0.778810
2.025000 0.875703 0.870605
2.075000 0.945287 0.937659
2.125000 0.998602 0.999449
2.175000 1.046934 1.060654
2.225000 1.149389 1.138701
2.275000 1.238695 1.256375
2.325000 1.371641 1.386700
2.375000 1.533461 1.497409
2.425000 1.578570 1.586106
2.475000 1.601870 1.612200
2.525000 1.606406 1.579529
2.575000 1.505247 1.516360
2.625000 1.419789 1.421573
2.675000 1.322793 1.316371
2.725000 1.233591 1.246345
2.775000 1.184990 1.201349
2.825000 1.196964 1.180047
2.875000 1.174174 1.166338
2.925000 1.150628 1.151742
2.975000 1.129908 1.143891
3.025000 1.144595 1.148059
3.075000 1.173503 1.157416
3.125000 1.154046 1.159324
3.175000 1.144537 1.142471
3.225000 1.111357 1.109123
3.275000 1.074403 1.080742
3.325000 1.033412 1.039447
3.375000 1.008466 0.990260
3.425000 0.922383 0.930040
3.475000 0.857427 0.857397
3.525000 0.785675 0.782485
3.575000 0.714823 0.723429
3.625000 0.674021 0.672215
3.675000 0.636660 0.632491
3.725000 0.603715 0.604234
3.775000 0.581929 0.583886
3.825000 0.579818 0.581067
3.875000 0.590250 0.594961
3.925000 0.622886 0.614200
3.975000 0.647935 0.642680
4.025000 0.667971 0.681318
4.075000 0.735313 0.728774
4.125000 0.800723 0.802846
4.175000 0.878966 0.891542
4.225000 0.995012 0.974582
4.275000 1.062022 1.066657
4.325000 1.130430 1.146417
4.375000 1.233809 1.209728
4.425000 1.261949 1.270426
4.475000 1.313090 1.321494
4.525000 1.360980 1.353974
4.575000 1.393134 1.389068
4.625000 1.398898 1.410835
4.675000 1.422834 1.418484
4.725000 1.412322 1.405128
4.775000 1.377146 1.368078
4.825000 1.313933 1.322220
4.875000 1.265332 1.283216
4.925000 1.267310 1.254161
4.975000 1.239509 1.237766
5.025000 1.211289 1.215933
5.075000 1.192101 1.183522
5.125000 1.149750 1.156105
5.175000 1.127305 1.126997
5.225000 1.111397 1.107567
5.275000 1.087765 1.098048
5.325000 1.104051 1.098085
5.375000 1.094250 1.100967
5.425000 1.106603 1.096042
5.475000 1.080028 1.077324
5.525000 1.041973 1.046649
5.575000 1.018777 1.016474
5.625000 0.979414 0.993766
5.675000 0.988280 0.972970
5.725000 0.952765 0.952861
5.775000 0.926661 0.934324
5.825000 0.915519 0.909250
5.875000 0.898085 0.901526
5.925000 0.887901 0.894480
5.975000 0.904153 0.890747
6.025000 0.880990 0.888352
6.075000 0.890430 0.887780
6.125000 0.885618 0.886211
6.175000 0.901710 0.904256
6.225000 0.915536 0.922553
6.275000 0.961499 0.947188
6.325000 0.961660 0.968885
6.375000 0.987684 0.988357
6.425000 0.999829 0.998176
6.475000 1.011402 1.004321
6.525000 1.007422 1.010188
6.575000 1.007933 1.020392
6.625000 1.048058 1.038943
6.675000 1.061156 1.065504
6.725000 1.089095 1.086685
6.775000 1.099939 1.094949
6.825000 1.092100 1.096325
6.875000 1.087225 1.085578
6.925000 1.070916 1.065668
6.975000 1.051292 1.053546
7.025000 1.033521 1.048472
7.075000 1.062739 1.048165
7.125000 1.063450 1.063716
7.175000 1.064780 1.081154
7.225000 1.107950 1.093511
7.275000 1.096521 1.095615
7.325000 1.094182 1.086165
7.375000 1.053569 1.065489
7.425000 1.054337 1.058231
7.475000 1.053821 1.051518
7.525000 1.062979 1.053413
7.575000 1.040144 1.050928
7.625000 1.045775 1.042360
7.675000 1.038091 1.029606
7.725000 1.015554 1.024990
7.775000 1.014114 1.013938
7.825000 1.024855 1.018002
7.875000 1.014464 1.032992
7.925000 1.057336 1.040060
7.975000 1.054951 1.047336
8.025000 1.038831 1.057642
8.075000 1.069706 1.070419
8.125000 1.085201 1.080793
8.175000 1.103976 1.084639
8.225000 1.057726 1.074926
8.275000 1.060812 1.061987
8.325000 1.060938 1.053079
8.375000 1.059183 1.067688
8.425000 1.077505 1.083868
8.475000 1.114803 1.100938
8.525000 1.117441 1.120021
8.575000 1.119374 1.127536
8.625000 1.133699 1.120479
8.675000 1.110984 1.110890
8.725000 1.093276 1.105557
8.775000 1.095260 1.099338
8.825000 1.109527 1.095265
8.875000 1.082317 1.083217
8.925000 1.055025 1.056051
8.975000 1.027264 1.025795
9.025000 0.998499 1.009139
9.075000 0.999571 0.993454
9.125000 0.998453 0.990783
9.175000 0.977195 0.994626
9.225000 1.009756 1.001291
9.275000 1.006780 1.006238
9.325000 1.012262 1.002651
9.375000 0.989020 0.996492
9.425000 0.975153 0.985221
9.475000 1.002651 0.982738
9.525000 0.965037 0.987391
9.575000 1.002393 0.986537
9.625000 0.985963 0.983557
9.675000 0.977808 0.991480
9.725000 0.998270 0.992099
9.775000 1.006436 1.004867
9.825000 1.012698 1.013930
9.875000 1.025240 1.022053
9.925000 1.022934 1.032032
9.975000 1.047203 1.039607
10.025000 1.045867 1.043727
10.075000 1.042679 1.048321
10.125000 1.044927 1.043105
10.175000 1.047605 1.043416
10.225000 1.033664 1.044982
10.275000 1.047588 1.040302
10.325000 1.036055 1.030450
10.375000 1.009888 1.011728
10.425000 0.993860 0.992425
10.475000 0.972573 0.986279
10.525000 0.997788 0.992712
10.575000 1.008609 1.003285
10.625000 1.014711 1.014854
10.675000 1.015296 1.018632
10.725000 1.021082 1.019145
10.775000 1.022969 1.019405
10.825000 1.014854 1.021818
10.875000 1.023301 1.018983
10.925000 1.027631 1.027028
10.975000 1.019482 1.032617
11.025000 1.052279 1.028592
11.075000 1.019000 1.029824
11.125000 1.014034 1.024781
11.175000 1.037403 1.023639
11.225000 1.009986 1.020809
11.275000 1.032041 1.011815
11.325000 0.979041 1.001118
11.375000 0.995397 0.991232
11.425000 0.990327 0.976820
11.475000 0.960289 0.970619
11.525000 0.962571 0.963676
11.575000 0.956969 0.962856
11.625000 0.977717 0.966362
11.675000 0.958844 0.956492
11.725000 0.948636 0.948522
11.775000 0.929173 0.945216
11.825000 0.958488 0.951938
11.875000 0.972137 0.965717
11.925000 0.967463 0.976046
11.975000 0.978600 0.975920
