# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000015
0.725000 0.000000 -0.000317
0.775000 0.000000 -0.000525
0.825000 0.000161 -0.000164
0.875000 0.003573 0.000950
0.925000 0.011349 0.006254
0.975000 0.030027 0.023090
1.025000 0.082097 0.072413
1.075000 0.198235 0.203208
1.125000 0.445542 0.466215
1.175000 0.893549 0.908229
1.225000 1.517066 1.556178
1.275000 2.308206 2.345256
1.325000 3.156400 3.128975
1.375000 3.779807 3.733171
1.425000 4.038422 4.001803
1.475000 3.896886 3.868474
1.525000 3.406063 3.384935
1.575000 2.681118 2.680808
1.625000 1.888567 1.920713
1.675000 1.224088 1.258898
1.725000 0.762364 0.787694
1.775000 0.513876 0.513782
1.825000 0.405101 0.395034
1.875000 0.370768 0.375431
1.925000 0.409970 0.401638
1.975000 0.458336 0.446300
2.025000 0.496827 0.491166
2.075000 0.544017 0.542187
2.125000 0.605492 0.618288
2.175000 0.741134 0.739573
2.225000 0.907290 0.918573
2.275000 1.130493 1.142124
2.325000 1.381740 1.375140
2.375000 1.582206 1.570970
2.425000 1.711029 1.701002
2.475000 1.721557 1.730671
2.525000 1.691623 1.662910
2.575000 1.518918 1.520319
2.625000 1.331303 1.341889
2.675000 1.162842 1.170806
2.725000 1.037214 1.047595
2.775000 0.986709 0.977825
2.825000 0.948854 0.964068
2.875000 0.980469 0.977454
2.925000 1.028182 1.010225
2.975000 1.035057 1.051917
3.025000 1.094921 1.086777
3.075000 1.116810 1.118425
3.125000 1.143947 1.139650
3.175000 1.154390 1.148233
3.225000 1.137966 1.158218
3.275000 1.165360 1.154119
3.325000 1.157985 1.153894
3.375000 1.116925 1.134531
3.425000 1.111386 1.078363
3.475000 1.003551 1.012908
3.525000 0.920181 0.941133
3.575000 0.880354 0.865998
3.625000 0.809531 0.807778
3.675000 0.754903 0.757019
3.725000 0.703692 0.713048
3.775000 0.689723 0.685373
3.825000 0.668069 0.663469
3.875000 0.645847 0.645294
3.925000 0.624491 0.629226
3.975000 0.615895 0.614950
4.025000 0.617289 0.606625
4.075000 0.602390 0.609717
4.125000 0.628282 0.632897
4.175000 0.679114 0.683606
4.225000 0.761073 0.754869
4.275000 0.849725 0.847971
4.325000 0.927980 0.945949
4.375000 1.056149 1.027509
4.425000 1.112120 1.114597
4.475000 1.163760 1.197058
4.525000 1.287129 1.259023
4.575000 1.321813 1.313111
4.625000 1.340760 1.354411
4.675000 1.365098 1.374152
4.725000 1.403508 1.391121
4.775000 1.404271 1.399581
4.825000 1.384045 1.395808
4.875000 1.379010 1.371810
4.925000 1.357413 1.353798
4.975000 1.314300 1.327968
5.025000 1.321251 1.303208
5.075000 1.269673 1.284823
5.125000 1.281355 1.282698
5.175000 1.271755 1.270398
5.225000 1.282702 1.266011
5.275000 1.232329 1.248205
5.325000 1.235890 1.231264
5.375000 1.214793 1.214990
5.425000 1.211243 1.212106
5.475000 1.207871 1.211531
5.525000 1.213376 1.213689
5.575000 1.221800 1.210159
5.625000 1.199326 1.207535
5.675000 1.193162 1.204640
5.725000 1.198042 1.186725
5.775000 1.172666 1.158652
5.825000 1.097771 1.110991
5.875000 1.053861 1.053484
5.925000 0.997128 0.999447
5.975000 0.955965 0.949862
6.025000 0.906538 0.907289
6.075000 0.859032 0.872615
6.125000 0.854898 0.840347
6.175000 0.815518 0.814761
6.225000 0.788559 0.794305
6.275000 0.778833 0.779869
6.325000 0.779952 0.780808
6.375000 0.796049 0.790439
6.425000 0.805282 0.810023
6.475000 0.831237 0.836039
6.525000 0.868804 0.859190
6.575000 0.889403 0.886590
6.625000 0.901400 0.916559
6.675000 0.945218 0.939333
6.725000 0.973731 0.958608
6.775000 0.967463 0.979601
6.825000 0.987162 0.997555
6.875000 1.024156 1.011178
6.925000 1.035648 1.027816
6.975000 1.024443 1.042745
7.025000 1.049732 1.047389
7.075000 1.066374 1.051480
7.125000 1.041497 1.050583
7.175000 1.040488 1.040625
7.225000 1.027207 1.026726
7.275000 1.025670 1.020453
7.325000 1.009596 1.019821
7.375000 1.023336 1.026060
7.425000 1.039731 1.026040
7.475000 1.032402 1.032537
7.525000 1.015927 1.031880
7.575000 1.045466 1.027032
7.625000 1.032351 1.035855
7.675000 1.039393 1.059152
7.725000 1.088086 1.075305
7.775000 1.114947 1.105039
7.825000 1.102778 1.120009
7.875000 1.137845 1.118531
7.925000 1.105496 1.115497
7.975000 1.108983 1.112919
8.025000 1.110508 1.103843
8.075000 1.101981 1.100335
8.125000 1.100765 1.106311
8.175000 1.100862 1.111382
8.225000 1.146504 1.122685
8.275000 1.121478 1.138659
8.325000 1.149997 1.157144
8.375000 1.165756 1.149662
8.425000 1.157922 1.140408
8.475000 1.092461 1.118921
8.525000 1.106855 1.109375
8.575000 1.116891 1.118290
8.625000 1.143247 1.136079
8.675000 1.139611 1.126818
8.725000 1.107566 1.109783
8.775000 1.071214 1.089186
8.825000 1.084794 1.081572
8.875000 1.081411 1.078595
8.925000 1.078165 1.067855
8.975000 1.037133 1.041344
9.025000 1.003517 1.008791
9.075000 0.977986 0.971877
9.125000 0.945201 0.944117
9.175000 0.919005 0.928779
9.225000 0.920445 0.923682
9.275000 0.934764 0.924607
9.325000 0.926891 0.923219
9.375000 0.914355 0.919158
9.425000 0.910151 0.912704
9.475000 0.924562 0.920434
9.525000 0.928749 0.936018
9.575000 0.967584 0.962464
9.625000 0.984128 0.993726
9.675000 1.025934 1.013237
9.725000 1.034891 1.023510
9.775000 1.011775 1.034128
9.825000 1.049130 1.047723
9.875000 1.070692 1.068828
9.925000 1.095741 1.091135
9.975000 1.088286 1.087759
10.025000 1.074546 1.066932
10.075000 1.028853 1.033894
10.125000 0.998585 1.001094
10.175000 0.980343 0.979229
10.225000 0.971695 0.979956
10.275000 0.992220 0.994835
10.325000 1.017200 1.007587
10.375000 1.023904 1.018148
10.425000 1.001470 1.013118
10.475000 1.008305 1.000132
10.525000 0.978210 0.977629
10.575000 0.964923 0.960411
10.625000 0.932763 0.950425
10.675000 0.955759 0.953614
10.725000 0.970462 0.959256
10.775000 0.961958 0.957449
10.825000 0.953992 0.956703
10.875000 0.942787 0.968702
10.925000 1.002060 0.984822
10.975000 1.010851 0.992643
11.025000 0.985292 0.994627
11.075000 0.974459 0.988301
11.125000 0.999164 0.995155
11.175000 1.019918 1.013508
11.225000 1.030906 1.032409
11.275000 1.044520 1.044253
11.325000 1.061265 1.064407
11.375000 1.077373 1.083004
11.425000 1.114448 1.099103
11.475000 1.101946 1.108602
11.525000 1.115199 1.114881
11.575000 1.118124 1.123230
11.625000 1.137409 1.135648
11.675000 1.157572 1.148900
11.725000 1.152170 1.167211
11.775000 1.182828 1.179594
11.825000 1.193024 1.181146
11.875000 1.175608 1.176435
11.925000 1.152107 1.163650
11.975000 1.147703 1.142360
