# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000110
0.725000 0.000000 -0.000092
0.775000 0.000000 -0.000311
0.825000 0.001158 -0.000442
0.875000 0.002707 0.000593
0.925000 0.010798 0.006985
0.975000 0.033014 0.027445
1.025000 0.088640 0.078768
1.075000 0.206310 0.207835
1.125000 0.438064 0.461319
1.175000 0.871735 0.888151
1.225000 1.466257 1.495925
1.275000 2.222834 2.237492
1.325000 2.993524 2.999503
1.375000 3.649464 3.626655
1.425000 4.009331 3.953564
1.475000 3.941094 3.897598
1.525000 3.481451 3.467128
1.575000 2.781538 2.786587
1.625000 1.994377 2.022245
1.675000 1.304224 1.324007
1.725000 0.762346 0.786622
1.775000 0.428636 0.445330
1.825000 0.266690 0.265383
1.875000 0.217326 0.200821
1.925000 0.199313 0.193286
1.975000 0.223043 0.220291
2.025000 0.265204 0.269240
2.075000 0.358410 0.342175
2.125000 0.458060 0.465351
2.175000 0.614289 0.648681
2.225000 0.888073 0.876114
2.275000 1.141997 1.127804
2.325000 1.362666 1.370281
2.375000 1.550596 1.558303
2.425000 1.696531 1.675331
2.475000 1.721781 1.703548
2.525000 1.650092 1.655753
2.575000 1.541157 1.558707
2.625000 1.453813 1.448028
2.675000 1.353651 1.340507
2.725000 1.255962 1.271759
2.775000 1.205772 1.237997
2.825000 1.262075 1.234322
2.875000 1.253335 1.239657
2.925000 1.232014 1.241012
2.975000 1.212510 1.227402
3.025000 1.223997 1.209402
3.075000 1.202297 1.187962
3.125000 1.145472 1.166573
3.175000 1.142582 1.148886
3.225000 1.143465 1.133464
3.275000 1.133458 1.124581
3.325000 1.082179 1.097557
3.375000 1.068055 1.057869
3.425000 1.006413 1.006931
3.475000 0.950053 0.946468
3.525000 0.878146 0.878209
3.575000 0.811022 0.823107
3.625000 0.777388 0.775317
3.675000 0.743193 0.734148
3.725000 0.696008 0.694663
3.775000 0.653858 0.663552
3.825000 0.631981 0.637608
3.875000 0.636247 0.619975
3.925000 0.596942 0.602007
3.975000 0.583598 0.581129
4.025000 0.564071 0.567543
4.075000 0.567982 0.571572
4.125000 0.598141 0.594297
4.175000 0.626166 0.634220
4.225000 0.690767 0.681271
4.275000 0.734476 0.732174
4.325000 0.788611 0.793727
4.375000 0.858407 0.864021
4.425000 0.949691 0.949773
4.475000 1.039175 1.039445
4.525000 1.116822 1.109784
4.575000 1.167728 1.158392
4.625000 1.173073 1.185443
4.675000 1.202589 1.193060
4.725000 1.206575 1.210153
4.775000 1.215481 1.236413
4.825000 1.278866 1.258144
4.875000 1.280798 1.278243
4.925000 1.280173 1.284649
4.975000 1.281894 1.280022
5.025000 1.277845 1.288631
5.075000 1.299453 1.295997
5.125000 1.311966 1.301236
5.175000 1.293288 1.301313
5.225000 1.292147 1.291661
5.275000 1.280225 1.279795
5.325000 1.266737 1.266101
5.375000 1.249218 1.249207
5.425000 1.221387 1.228586
5.475000 1.204860 1.193799
5.525000 1.155439 1.150670
5.575000 1.089972 1.098193
5.625000 1.054647 1.055940
5.675000 1.011333 1.025331
5.725000 1.017033 0.995668
5.775000 0.961660 0.959294
5.825000 0.910742 0.921490
5.875000 0.882189 0.880632
5.925000 0.862187 0.861823
5.975000 0.850998 0.856794
6.025000 0.861768 0.854893
6.075000 0.865180 0.863225
6.125000 0.864331 0.874967
6.175000 0.895929 0.885224
6.225000 0.900769 0.906574
6.275000 0.914142 0.922910
6.325000 0.943418 0.917492
6.375000 0.910323 0.909727
6.425000 0.886547 0.914003
6.475000 0.926741 0.933585
6.525000 0.984449 0.963383
6.575000 0.994731 0.983090
6.625000 0.968105 0.977757
6.675000 0.966121 0.969392
6.725000 0.969528 0.981927
6.775000 1.008707 1.000303
6.825000 1.036411 1.021745
6.875000 1.019643 1.039581
6.925000 1.055651 1.044686
6.975000 1.055805 1.054049
7.025000 1.056568 1.068359
7.075000 1.082684 1.071090
7.125000 1.081542 1.083130
7.175000 1.081835 1.090514
7.225000 1.108088 1.099791
7.275000 1.097267 1.104493
7.325000 1.118279 1.104950
7.375000 1.084851 1.093302
7.425000 1.090844 1.088356
7.475000 1.074919 1.081696
7.525000 1.094870 1.095458
7.575000 1.091985 1.093449
7.625000 1.108524 1.085528
7.675000 1.044651 1.062125
7.725000 1.039421 1.040371
7.775000 1.018220 1.019036
7.825000 1.018238 1.015437
7.875000 1.000856 1.004297
7.925000 0.996612 0.988176
7.975000 0.968369 0.969016
8.025000 0.942890 0.952022
8.075000 0.943446 0.934838
8.125000 0.931352 0.932609
8.175000 0.930423 0.941603
8.225000 0.960564 0.956254
8.275000 0.975755 0.970013
8.325000 0.981307 0.972142
8.375000 0.965387 0.974311
8.425000 0.967979 0.983265
8.475000 1.012899 0.997703
8.525000 1.018863 1.014231
8.575000 1.023003 1.026466
8.625000 1.031066 1.036902
8.675000 1.057480 1.062258
8.725000 1.089995 1.085813
8.775000 1.113094 1.102355
8.825000 1.095936 1.102212
8.875000 1.093167 1.091376
8.925000 1.073801 1.080017
8.975000 1.069546 1.066119
9.025000 1.059814 1.047795
9.075000 1.026788 1.042097
9.125000 1.034002 1.041952
9.175000 1.065044 1.050787
9.225000 1.061276 1.063576
9.275000 1.066099 1.062138
9.325000 1.059745 1.060322
9.375000 1.054182 1.065330
9.425000 1.086795 1.077527
9.475000 1.093637 1.098579
9.525000 1.121622 1.121859
9.575000 1.139164 1.138500
9.625000 1.148173 1.143817
9.675000 1.142834 1.133253
9.725000 1.110124 1.125771
9.775000 1.108507 1.113363
9.825000 1.125544 1.112255
9.875000 1.090271 1.104491
9.925000 1.097955 1.073719
9.975000 1.026341 1.030527
10.025000 0.981438 0.998941
10.075000 0.970594 0.970031
10.125000 0.975595 0.966469
10.175000 0.957015 0.961812
10.225000 0.959934 0.950600
10.275000 0.935200 0.940651
10.325000 0.934369 0.941490
10.375000 0.949462 0.947458
10.425000 0.963392 0.957366
10.475000 0.966609 0.967681
10.525000 0.960868 0.966137
10.575000 0.975394 0.958596
10.625000 0.948178 0.961406
10.675000 0.962497 0.976976
10.725000 1.006023 0.987455
10.775000 1.021260 1.013815
10.825000 1.007210 1.033004
10.875000 1.061764 1.043491
10.925000 1.057262 1.052326
10.975000 1.060198 1.069008
11.025000 1.069093 1.077840
11.075000 1.110072 1.098319
11.125000 1.115721 1.120584
11.175000 1.133022 1.132942
11.225000 1.139910 1.132243
11.275000 1.121478 1.124774
11.325000 1.114815 1.117276
11.375000 1.100364 1.108868
11.425000 1.113582 1.097333
11.475000 1.083194 1.086926
11.525000 1.060445 1.074094
11.575000 1.067624 1.055821
11.625000 1.037707 1.033332
11.675000 1.012595 1.009562
11.725000 0.975119 0.993233
11.775000 0.992799 0.994065
11.825000 1.012348 1.000033
11.875000 1.007606 1.007972
11.925000 0.992111 1.003761
11.975000 0.982339 0.977056
