# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 -0.000026
0.675000 0.000000 -0.000019
0.725000 0.000000 -0.000489
0.775000 0.000275 -0.000513
0.825000 0.000608 -0.001982
0.875000 0.006876 0.000254
0.925000 0.018483 0.014947
0.975000 0.072113 0.060900
1.025000 0.187253 0.184390
1.075000 0.426233 0.450739
1.125000 0.879207 0.901829
1.175000 1.553985 1.580073
1.225000 2.379097 2.437955
1.275000 3.326088 3.311460
1.325000 4.064320 4.011636
1.375000 4.357590 4.312533
1.425000 4.189381 4.093177
1.475000 3.452703 3.444059
1.525000 2.520158 2.574174
1.575000 1.665989 1.705545
1.625000 1.021506 1.031312
1.675000 0.606548 0.616575
1.725000 0.447222 0.469818
1.775000 0.562471 0.554056
1.825000 0.877596 0.878847
1.875000 1.321904 1.381612
1.925000 1.996683 1.972729
1.975000 2.556126 2.537264
2.025000 2.973252 2.946193
2.075000 3.122628 3.091300
2.125000 3.004174 2.994944
2.175000 2.687002 2.689906
2.225000 2.270839 2.271851
2.275000 1.806602 1.823511
2.325000 1.406129 1.413497
2.375000 1.067137 1.083172
2.425000 0.834179 0.837985
2.475000 0.671475 0.660234
2.525000 0.528878 0.530866
2.575000 0.432530 0.427582
2.625000 0.350243 0.353975
2.675000 0.298494 0.305006
2.725000 0.282385 0.269148
2.775000 0.247605 0.249055
2.825000 0.231381 0.238198
2.875000 0.240500 0.236130
2.925000 0.251091 0.253423
2.975000 0.274787 0.274884
3.025000 0.311007 0.301818
3.075000 0.329713 0.341276
3.125000 0.385706 0.389040
3.175000 0.447635 0.438307
3.225000 0.493277 0.490934
3.275000 0.528740 0.538449
3.325000 0.578121 0.572466
3.375000 0.616813 0.606812
3.425000 0.622037 0.641789
3.475000 0.674520 0.666141
3.525000 0.699409 0.688990
3.575000 0.699896 0.713832
3.625000 0.727617 0.722334
3.675000 0.744449 0.733685
3.725000 0.741897 0.757104
3.775000 0.782630 0.783359
3.825000 0.834798 0.829004
3.875000 0.872010 0.884154
3.925000 0.941084 0.926188
3.975000 0.961195 0.954132
4.025000 0.969906 0.974715
4.075000 0.992862 1.002888
4.125000 1.041279 1.050007
4.175000 1.123870 1.109920
4.225000 1.164764 1.167327
4.275000 1.210411 1.200594
4.325000 1.232513 1.224948
4.375000 1.240409 1.265446
4.425000 1.327169 1.323616
4.475000 1.418327 1.410827
4.525000 1.511635 1.517340
4.575000 1.629144 1.628980
4.625000 1.738687 1.747766
4.675000 1.859435 1.851335
4.725000 1.938155 1.929154
4.775000 1.955961 1.969126
4.825000 1.965549 1.958430
4.875000 1.900828 1.890757
4.925000 1.782866 1.776289
4.975000 1.608367 1.619114
5.025000 1.453537 1.455184
5.075000 1.289251 1.288597
5.125000 1.157372 1.148513
5.175000 1.010335 1.035304
5.225000 0.960020 0.951039
5.275000 0.902140 0.890769
5.325000 0.851205 0.864061
5.375000 0.835194 0.842769
5.425000 0.849014 0.830748
5.475000 0.821792 0.819910
5.525000 0.800642 0.806453
5.575000 0.795280 0.797361
5.625000 0.810689 0.816488
5.675000 0.840074 0.844966
5.725000 0.888973 0.871218
5.775000 0.882980 0.883195
5.825000 0.883852 0.888844
5.875000 0.879310 0.889922
5.925000 0.903746 0.890506
5.975000 0.896497 0.892482
6.025000 0.876443 0.889227
6.075000 0.897684 0.888681
6.125000 0.888887 0.901898
6.175000 0.922848 0.915068
6.225000 0.932006 0.923986
6.275000 0.918948 0.928170
6.325000 0.932935 0.923454
6.375000 0.920605 0.933385
6.425000 0.941652 0.947986
6.475000 0.975302 0.956968
6.525000 0.954704 0.955121
6.575000 0.942156 0.942012
6.625000 0.915662 0.927126
6.675000 0.930429 0.928661
6.725000 0.934466 0.935128
6.775000 0.946199 0.936023
6.825000 0.933778 0.929752
6.875000 0.913678 0.931629
6.925000 0.938681 0.938756
6.975000 0.964745 0.950178
7.025000 0.965095 0.964894
7.075000 0.965829 0.979865
7.125000 0.996544 0.994267
7.175000 1.027327 1.016467
7.225000 1.026163 1.035406
7.275000 1.049709 1.043789
7.325000 1.049073 1.052526
7.375000 1.053517 1.057365
7.425000 1.064631 1.051701
7.475000 1.038773 1.045259
7.525000 1.032655 1.037548
7.575000 1.033102 1.028990
7.625000 1.033205 1.034998
7.675000 1.028898 1.034199
7.725000 1.045913 1.029884
7.775000 1.013816 1.026392
7.825000 1.017131 1.019378
7.875000 1.017458 1.005228
7.925000 0.996698 0.997324
7.975000 0.985327 0.996371
8.025000 1.000500 1.006750
8.075000 1.037529 1.024665
8.125000 1.043694 1.038140
8.175000 1.042570 1.045100
8.225000 1.050099 1.061787
8.275000 1.083326 1.090700
8.325000 1.137604 1.116383
8.375000 1.138694 1.135688
8.425000 1.130602 1.144330
8.475000 1.154137 1.154345
8.525000 1.171416 1.175509
8.575000 1.200341 1.190886
8.625000 1.195857 1.193544
8.675000 1.171536 1.176631
8.725000 1.156620 1.142939
8.775000 1.106832 1.115108
8.825000 1.092524 1.112173
8.875000 1.114649 1.109306
8.925000 1.146132 1.115825
8.975000 1.093058 1.118710
9.025000 1.112739 1.113997
9.075000 1.119483 1.110314
9.125000 1.114534 1.117885
9.175000 1.111586 1.116201
9.225000 1.102548 1.096988
9.275000 1.086153 1.068546
9.325000 1.017406 1.041139
9.375000 1.012188 1.012725
9.425000 1.012796 1.003182
9.475000 0.985413 0.997692
9.525000 1.004446 0.981233
9.575000 0.950804 0.967239
9.625000 0.951985 0.955321
9.675000 0.956246 0.946579
9.725000 0.940786 0.946900
9.775000 0.954663 0.948788
9.825000 0.939845 0.956668
9.875000 0.969975 0.955865
9.925000 0.958282 0.941565
9.975000 0.910719 0.932918
10.025000 0.909996 0.915262
10.075000 0.929735 0.912012
10.125000 0.906435 0.917586
10.175000 0.923203 0.919056
10.225000 0.919843 0.922287
10.275000 0.930727 0.935572
10.325000 0.940648 0.933638
10.375000 0.938119 0.924881
10.425000 0.901056 0.915535
10.475000 0.903751 0.912572
10.525000 0.929150 0.917942
10.575000 0.940161 0.941689
10.625000 0.948516 0.953233
10.675000 0.981611 0.966411
10.725000 0.962812 0.984071
10.775000 1.010364 1.001850
10.825000 1.018943 1.012356
10.875000 1.024053 1.028219
10.925000 1.022091 1.025562
10.975000 1.035562 1.023035
11.025000 1.017068 1.030128
11.075000 1.031410 1.036359
11.125000 1.064333 1.045745
11.175000 1.049899 1.064000
11.225000 1.078463 1.077628
11.275000 1.096504 1.093084
11.325000 1.105840 1.112867
11.375000 1.122585 1.110056
11.425000 1.107681 1.102278
11.475000 1.071925 1.091368
11.525000 1.088206 1.080263
11.575000 1.081061 1.077552
11.625000 1.079667 1.086506
11.675000 1.083360 1.085918
11.725000 1.098288 1.086197
11.775000 1.071604 1.072644
11.825000 1.064275 1.061859
11.875000 1.038687 1.053516
11.925000 1.078945 1.061286
11.975000 1.088802 1.094787
