# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 -0.000014
0.675000 0.000000 -0.000028
0.725000 0.000000 -0.000040
0.775000 0.000143 -0.000164
0.825000 0.000510 -0.000832
0.875000 0.001611 -0.000288
0.925000 0.006170 0.000440
0.975000 0.025037 0.012107
1.025000 0.066476 0.058243
1.075000 0.197260 0.196743
1.125000 0.476245 0.495177
1.175000 1.010020 1.045863
1.225000 1.799193 1.869222
1.275000 2.862809 2.897851
1.325000 3.903446 3.899840
1.375000 4.661107 4.548777
1.425000 4.730755 4.600329
1.475000 4.070393 4.049130
1.525000 3.054925 3.100120
1.575000 2.023435 2.074621
1.625000 1.210922 1.243872
1.675000 0.673872 0.717375
1.725000 0.481687 0.488444
1.775000 0.504018 0.489386
1.825000 0.640198 0.647184
1.875000 0.844163 0.846044
1.925000 1.057296 1.012300
1.975000 1.124409 1.107888
2.025000 1.124541 1.136311
2.075000 1.120188 1.134342
2.125000 1.154447 1.156168
2.175000 1.211874 1.210387
2.225000 1.294160 1.297827
2.275000 1.400624 1.414668
2.325000 1.534998 1.537498
2.375000 1.653848 1.636220
2.425000 1.679775 1.674874
2.475000 1.641209 1.629487
2.525000 1.521068 1.519399
2.575000 1.361680 1.377758
2.625000 1.225448 1.216087
2.675000 1.082707 1.077031
2.725000 0.945064 0.972148
2.775000 0.911298 0.904382
2.825000 0.880578 0.877406
2.875000 0.879545 0.878108
2.925000 0.888388 0.891453
2.975000 0.909262 0.914426
3.025000 0.950953 0.937408
3.075000 0.951527 0.955947
3.125000 0.965003 0.961919
3.175000 0.968455 0.968771
3.225000 0.968954 0.985991
3.275000 1.007910 0.992749
3.325000 1.007571 0.997503
3.375000 0.974861 0.992528
3.425000 0.983371 0.974574
3.475000 0.961058 0.962482
3.525000 0.947793 0.957216
3.575000 0.941669 0.936921
3.625000 0.918357 0.904718
3.675000 0.852420 0.857727
3.725000 0.793468 0.797249
3.775000 0.747809 0.744177
3.825000 0.699237 0.704624
3.875000 0.691432 0.687736
3.925000 0.679011 0.690589
3.975000 0.722800 0.715563
4.025000 0.745974 0.744920
4.075000 0.788055 0.777595
4.125000 0.811332 0.820123
4.175000 0.865897 0.878424
4.225000 0.969396 0.956779
4.275000 1.040482 1.051050
4.325000 1.146206 1.135796
4.375000 1.214099 1.207155
4.425000 1.261129 1.270826
4.475000 1.329497 1.329165
4.525000 1.381797 1.391276
4.575000 1.452591 1.446245
4.625000 1.479607 1.470528
4.675000 1.471160 1.464937
4.725000 1.422565 1.429712
4.775000 1.386379 1.387385
4.825000 1.350394 1.357116
4.875000 1.332026 1.338551
4.925000 1.328826 1.315781
4.975000 1.287806 1.279860
5.025000 1.233677 1.242436
5.075000 1.184410 1.196942
5.125000 1.180563 1.160977
5.175000 1.121003 1.134805
5.225000 1.104647 1.098124
5.275000 1.077631 1.064490
5.325000 1.023072 1.054348
5.375000 1.052904 1.044771
5.425000 1.058025 1.038428
5.475000 1.024712 1.030835
5.525000 1.007227 1.010539
5.575000 1.000254 1.009266
5.625000 1.015147 1.019571
5.675000 1.046383 1.029692
5.725000 1.019339 1.020613
5.775000 1.002565 0.995103
5.825000 0.951033 0.964790
5.875000 0.947105 0.948331
5.925000 0.946601 0.945395
5.975000 0.949858 0.951763
6.025000 0.959589 0.948885
6.075000 0.940717 0.941566
6.125000 0.930257 0.938877
6.175000 0.935171 0.937400
6.225000 0.956544 0.945466
6.275000 0.949697 0.954054
6.325000 0.966838 0.969660
6.375000 0.980045 0.988030
6.425000 1.019092 1.007071
6.475000 1.020010 1.016222
6.525000 1.011649 1.015018
6.575000 1.010777 1.012878
6.625000 1.011316 1.023368
6.675000 1.041004 1.031171
6.725000 1.043826 1.027477
6.775000 1.012784 1.024913
6.825000 1.005335 1.020874
6.875000 1.040448 1.026872
6.925000 1.041497 1.038305
6.975000 1.046171 1.048590
7.025000 1.044514 1.046428
7.075000 1.064889 1.061702
7.125000 1.062113 1.078963
7.175000 1.116449 1.097128
7.225000 1.101556 1.107856
7.275000 1.105238 1.098059
7.325000 1.089410 1.082809
7.375000 1.050421 1.083178
7.425000 1.099802 1.083782
7.475000 1.096005 1.084604
7.525000 1.071042 1.075947
7.575000 1.044307 1.039692
7.625000 1.012887 1.018866
7.675000 0.990752 1.005984
7.725000 1.020434 1.000221
7.775000 0.993395 0.995753
7.825000 0.990270 0.991743
7.875000 0.982064 0.991774
7.925000 0.999927 0.999163
7.975000 1.018805 1.000648
8.025000 0.992048 1.001651
8.075000 0.991222 0.998048
8.125000 1.004595 0.997459
8.175000 1.009636 1.012865
8.225000 1.022430 1.027502
8.275000 1.048241 1.037062
8.325000 1.046865 1.046375
8.375000 1.049337 1.060638
8.425000 1.071438 1.072511
8.475000 1.100989 1.088753
8.525000 1.092306 1.098534
8.575000 1.100163 1.100770
8.625000 1.090167 1.091210
8.675000 1.084989 1.072378
8.725000 1.047438 1.052394
8.775000 1.021959 1.038253
8.825000 1.041182 1.026972
8.875000 1.033601 1.031314
8.925000 1.028784 1.042344
8.975000 1.056952 1.052912
9.025000 1.069632 1.066073
9.075000 1.072046 1.065901
9.125000 1.056287 1.051999
9.175000 1.030946 1.048606
9.225000 1.041021 1.047586
9.275000 1.069018 1.045024
9.325000 1.031835 1.033883
9.375000 1.003947 1.008354
9.425000 0.983428 0.987225
9.475000 0.980274 0.986972
9.525000 1.004801 0.998424
9.575000 1.014734 1.013780
9.625000 1.028635 1.027065
9.675000 1.032528 1.036415
9.725000 1.042965 1.041654
9.775000 1.049199 1.045945
9.825000 1.037386 1.040903
9.875000 1.042490 1.031539
9.925000 1.014717 1.028209
9.975000 1.030430 1.034428
10.025000 1.050340 1.043265
10.075000 1.056459 1.055811
10.125000 1.051218 1.047679
10.175000 1.038986 1.033907
10.225000 1.005667 1.023079
10.275000 1.018553 1.010437
10.325000 1.013260 1.000893
10.375000 0.990379 1.008241
10.425000 1.004962 1.012770
10.475000 1.040792 1.018956
10.525000 1.017808 1.019637
10.575000 1.004847 1.009893
10.625000 0.991623 0.996566
10.675000 0.997553 0.992128
10.725000 0.993934 0.994933
10.775000 0.990763 0.997515
10.825000 1.006373 0.996999
10.875000 0.989071 0.993962
10.925000 0.982998 0.978373
10.975000 0.961167 0.957254
11.025000 0.927223 0.937698
11.075000 0.927923 0.924261
11.125000 0.912697 0.914763
11.175000 0.921190 0.913698
11.225000 0.903287 0.912555
11.275000 0.921362 0.918507
11.325000 0.924992 0.923592
11.375000 0.935946 0.933615
11.425000 0.938285 0.942809
11.475000 0.952851 0.954561
11.525000 0.970715 0.966215
11.575000 0.973095 0.973243
11.625000 0.977659 0.971185
11.675000 0.968054 0.974885
11.725000 0.974976 0.989239
11.775000 1.013495 0.996680
11.825000 1.018966 1.005662
11.875000 0.991898 1.008587
11.925000 1.026192 1.022134
11.975000 1.056803 1.056159
