# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000023
0.725000 0.000000 -0.000011
0.775000 0.000000 -0.000135
0.825000 0.000247 -0.000621
0.875000 0.000482 -0.001224
0.925000 0.002879 -0.001330
0.975000 0.013150 0.006621
1.025000 0.043641 0.038133
1.075000 0.130767 0.127726
1.125000 0.312693 0.327694
1.175000 0.656967 0.677728
1.225000 1.187863 1.198136
1.275000 1.850948 1.888785
1.325000 2.613834 2.645487
1.375000 3.359853 3.301315
1.425000 3.763699 3.705893
1.475000 3.773585 3.758974
1.525000 3.477213 3.472289
1.575000 2.947011 2.943381
1.625000 2.307523 2.300821
1.675000 1.619980 1.659797
1.725000 1.089898 1.107581
1.775000 0.695767 0.696340
1.825000 0.421278 0.433529
1.875000 0.278474 0.273260
1.925000 0.197306 0.190177
1.975000 0.155971 0.156406
2.025000 0.148894 0.145258
2.075000 0.156539 0.150692
2.125000 0.173479 0.173427
2.175000 0.211155 0.216040
2.225000 0.286124 0.283488
2.275000 0.385827 0.384762
2.325000 0.514088 0.523764
2.375000 0.690572 0.698011
2.425000 0.890137 0.889506
2.475000 1.082213 1.067469
2.525000 1.216502 1.210403
2.575000 1.304081 1.314272
2.625000 1.377129 1.378325
2.675000 1.417736 1.407082
2.725000 1.405103 1.400397
2.775000 1.363182 1.368025
2.825000 1.318802 1.325589
2.875000 1.296259 1.291322
2.925000 1.272454 1.278829
2.975000 1.274043 1.274193
3.025000 1.302527 1.296568
3.075000 1.305606 1.329104
3.125000 1.389063 1.359663
3.175000 1.379847 1.394074
3.225000 1.397177 1.406371
3.275000 1.417134 1.379303
3.325000 1.331992 1.348513
3.375000 1.290140 1.310905
3.425000 1.280707 1.275972
3.475000 1.261387 1.250623
3.525000 1.209689 1.203164
3.575000 1.134737 1.140968
3.625000 1.059825 1.066410
3.675000 1.009722 1.002295
3.725000 0.925916 0.936983
3.775000 0.887476 0.865389
3.825000 0.790784 0.798682
3.875000 0.735153 0.753809
3.925000 0.727164 0.720336
3.975000 0.719371 0.709531
4.025000 0.696243 0.698062
4.075000 0.688186 0.690211
4.125000 0.682165 0.689153
4.175000 0.708710 0.698925
4.225000 0.711612 0.713538
4.275000 0.734574 0.740355
4.325000 0.760999 0.761100
4.375000 0.804903 0.787420
4.425000 0.803372 0.820692
4.475000 0.854147 0.863385
4.525000 0.913827 0.899698
4.575000 0.949347 0.936428
4.625000 0.945947 0.958774
4.675000 0.981123 0.987867
4.725000 1.019075 1.021320
4.775000 1.080309 1.062048
4.825000 1.087048 1.093805
4.875000 1.127339 1.134985
4.925000 1.164695 1.172245
4.975000 1.237192 1.219281
5.025000 1.240753 1.250551
5.075000 1.272850 1.262122
5.125000 1.257298 1.257286
5.175000 1.247623 1.260890
5.225000 1.259374 1.262222
5.275000 1.273458 1.261092
5.325000 1.256059 1.247661
5.375000 1.214902 1.222375
5.425000 1.198420 1.209731
5.475000 1.199917 1.210619
5.525000 1.231349 1.205036
5.575000 1.194406 1.184503
5.625000 1.135419 1.153665
5.675000 1.125671 1.138027
5.725000 1.133401 1.137828
5.775000 1.167923 1.136985
5.825000 1.109166 1.116635
5.875000 1.072963 1.078578
5.925000 1.039622 1.039111
5.975000 1.013937 1.021519
6.025000 1.016053 1.014736
6.075000 1.008615 1.008998
6.125000 1.003052 0.989004
6.175000 0.960163 0.958110
6.225000 0.914521 0.929155
6.275000 0.914400 0.912853
6.325000 0.921609 0.925063
6.375000 0.946767 0.953771
6.425000 0.981175 0.960799
6.475000 0.979351 0.968078
6.525000 0.933548 0.969225
6.575000 0.992415 0.976155
6.625000 0.994244 0.994312
6.675000 1.022218 1.021158
6.725000 1.028377 1.030021
6.775000 1.047014 1.044700
6.825000 1.049056 1.055161
6.875000 1.064327 1.056498
6.925000 1.063065 1.057196
6.975000 1.041474 1.060096
7.025000 1.072631 1.068704
7.075000 1.073090 1.067696
7.125000 1.078308 1.063081
7.175000 1.024236 1.042228
7.225000 1.033326 1.028058
7.275000 1.021168 1.036696
7.325000 1.045093 1.041933
7.375000 1.070257 1.032241
7.425000 0.987466 1.021169
7.475000 0.998751 1.002985
7.525000 1.001596 0.987000
7.575000 0.989748 0.989188
7.625000 0.976386 0.985084
7.675000 0.983107 0.980269
7.725000 0.996916 0.991714
7.775000 0.991549 1.006274
7.825000 1.038309 1.023232
7.875000 1.032471 1.041273
7.925000 1.057199 1.054738
7.975000 1.060273 1.051995
8.025000 1.047622 1.051196
8.075000 1.041027 1.048415
8.125000 1.051413 1.051073
8.175000 1.063467 1.059541
8.225000 1.060754 1.059762
8.275000 1.059453 1.053416
8.325000 1.036554 1.048264
8.375000 1.044818 1.044787
8.425000 1.050157 1.041077
8.475000 1.036875 1.039725
8.525000 1.030470 1.032666
8.575000 1.030407 1.028501
8.625000 1.030114 1.035174
8.675000 1.041090 1.041618
8.725000 1.055708 1.044896
8.775000 1.042954 1.047113
8.825000 1.043860 1.051210
8.875000 1.056258 1.053689
8.925000 1.070268 1.060131
8.975000 1.061316 1.071023
9.025000 1.076249 1.083664
9.075000 1.104498 1.094281
9.125000 1.105691 1.100864
9.175000 1.093528 1.094327
9.225000 1.083613 1.090283
9.275000 1.083400 1.089946
9.325000 1.110428 1.099718
9.375000 1.095139 1.098974
9.425000 1.106895 1.094204
9.475000 1.067309 1.087383
9.525000 1.088183 1.084911
9.575000 1.086853 1.071563
9.625000 1.065858 1.070046
9.675000 1.043556 1.061285
9.725000 1.074099 1.061287
9.775000 1.062366 1.063201
9.825000 1.064470 1.058472
9.875000 1.042237 1.047467
9.925000 1.033205 1.041676
9.975000 1.042897 1.032837
10.025000 1.026249 1.023787
10.075000 1.007738 1.012555
10.125000 0.994204 0.996169
10.175000 0.992885 0.984677
10.225000 0.977074 0.984087
10.275000 0.983899 0.989315
10.325000 1.011024 1.006275
10.375000 1.017297 1.022115
10.425000 1.041199 1.024422
10.475000 1.010806 1.016608
10.525000 0.999979 1.008975
10.575000 1.004675 1.000285
10.625000 1.008902 1.011079
10.675000 1.009980 1.013915
10.725000 1.029994 1.009952
10.775000 0.992948 1.009105
10.825000 1.001963 1.006861
10.875000 1.020887 1.006093
10.925000 1.012985 1.026310
10.975000 1.030825 1.035883
11.025000 1.059642 1.037105
11.075000 1.023789 1.028194
11.125000 1.014046 1.023812
11.175000 1.002639 1.016754
11.225000 1.045500 1.017435
11.275000 1.005306 1.013011
11.325000 0.995959 1.002840
11.375000 0.991239 0.982392
11.425000 0.983107 0.986927
11.475000 0.985946 1.001199
11.525000 1.032798 1.021087
11.575000 1.047525 1.039223
11.625000 1.048127 1.053882
11.675000 1.049405 1.054522
11.725000 1.067189 1.058971
11.775000 1.057503 1.063258
11.825000 1.071123 1.070689
11.875000 1.068037 1.073886
11.925000 1.080017 1.070731
11.975000 1.054721 1.058216
