# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 -0.000061
0.525000 0.000000 -0.000107
0.575000 0.000000 -0.000136
0.625000 0.000642 -0.000966
0.675000 0.002082 -0.001448
0.725000 0.006474 0.003353
0.775000 0.028352 0.021411
0.825000 0.086364 0.075946
0.875000 0.209269 0.206803
0.925000 0.469312 0.484893
0.975000 0.929305 0.973939
1.025000 1.658046 1.701170
1.075000 2.555203 2.585343
1.125000 3.468628 3.430522
1.175000 4.092041 4.036876
1.225000 4.239835 4.207585
1.275000 3.978971 3.892602
1.325000 3.203550 3.209019
1.375000 2.325886 2.368477
1.425000 1.542499 1.586866
1.475000 1.013753 1.046349
1.525000 0.758986 0.775781
1.575000 0.720397 0.722202
1.625000 0.831799 0.808342
1.675000 0.948762 0.952782
1.725000 1.111902 1.105711
1.775000 1.223767 1.213690
1.825000 1.304815 1.282626
1.875000 1.283803 1.305661
1.925000 1.306639 1.306431
1.975000 1.301042 1.298120
2.025000 1.293546 1.301016
2.075000 1.284021 1.280056
2.125000 1.270866 1.258417
2.175000 1.204390 1.227431
2.225000 1.198231 1.181064
2.275000 1.136515 1.133881
2.325000 1.071891 1.087554
2.375000 1.045466 1.031585
2.425000 0.986336 0.985495
2.475000 0.950701 0.958840
2.525000 0.934764 0.943785
2.575000 0.966448 0.953133
2.625000 0.968908 0.974056
2.675000 1.000776 1.003297
2.725000 1.026570 1.029992
2.775000 1.056562 1.045115
2.825000 1.054280 1.045472
2.875000 1.018433 1.034696
2.925000 1.026719 1.024249
2.975000 1.016672 1.022107
3.025000 1.026484 1.020820
3.075000 1.008804 1.005010
3.125000 0.972418 0.970573
3.175000 0.930790 0.925614
3.225000 0.869395 0.886350
3.275000 0.858379 0.852827
3.325000 0.838548 0.832750
3.375000 0.811355 0.820893
3.425000 0.814268 0.803291
3.475000 0.794954 0.796950
3.525000 0.789414 0.796990
3.575000 0.817869 0.810453
3.625000 0.830692 0.840465
3.675000 0.889111 0.878473
3.725000 0.924935 0.927048
3.775000 0.980051 0.993271
3.825000 1.062268 1.055492
3.875000 1.132328 1.115125
3.925000 1.163909 1.176131
3.975000 1.216565 1.235203
4.025000 1.302854 1.286595
4.075000 1.338615 1.322606
4.125000 1.332783 1.338604
4.175000 1.328992 1.350492
4.225000 1.359122 1.352917
4.275000 1.388621 1.366165
4.325000 1.335019 1.363545
4.375000 1.367231 1.346615
4.425000 1.309414 1.322362
4.475000 1.296718 1.291339
4.525000 1.248036 1.235015
4.575000 1.175958 1.187067
4.625000 1.131566 1.136289
4.675000 1.112733 1.111780
4.725000 1.095220 1.105043
4.775000 1.113685 1.099037
4.825000 1.087661 1.087052
4.875000 1.062452 1.066099
4.925000 1.037862 1.031096
4.975000 1.008070 1.013810
5.025000 0.988526 1.005087
5.075000 1.018175 1.000843
5.125000 0.995683 0.988898
5.175000 0.973026 0.975700
5.225000 0.941170 0.956587
5.275000 0.961534 0.952859
5.325000 0.952335 0.953881
5.375000 0.957462 0.948854
5.425000 0.940912 0.942646
5.475000 0.924505 0.942440
5.525000 0.955782 0.937649
5.575000 0.941950 0.939670
5.625000 0.927011 0.943347
5.675000 0.943705 0.935115
5.725000 0.940074 0.928777
5.775000 0.915639 0.923655
5.825000 0.916115 0.927492
5.875000 0.938876 0.937618
5.925000 0.971793 0.954274
5.975000 0.955380 0.967234
6.025000 0.971259 0.972111
6.075000 0.979586 0.971391
6.125000 0.978606 0.980702
6.175000 0.983858 0.997222
6.225000 1.015611 1.011925
6.275000 1.043011 1.023360
6.325000 1.017957 1.031759
6.375000 1.025297 1.030571
6.425000 1.041090 1.028969
6.475000 1.035493 1.041650
6.525000 1.046831 1.057487
6.575000 1.076181 1.065544
6.625000 1.084926 1.074767
6.675000 1.059045 1.072605
6.725000 1.074409 1.069074
6.775000 1.064230 1.072827
6.825000 1.086090 1.080162
6.875000 1.085316 1.077588
6.925000 1.073233 1.081715
6.975000 1.070670 1.078580
7.025000 1.089840 1.070974
7.075000 1.065927 1.069007
7.125000 1.052250 1.069289
7.175000 1.081909 1.074925
7.225000 1.088080 1.085329
7.275000 1.095059 1.085408
7.325000 1.072602 1.079271
7.375000 1.064579 1.076391
7.425000 1.085453 1.073889
7.475000 1.079065 1.078309
7.525000 1.071197 1.077323
7.575000 1.074821 1.068470
7.625000 1.060938 1.061651
7.675000 1.053970 1.059360
7.725000 1.053448 1.056766
7.775000 1.060227 1.049084
7.825000 1.040150 1.036482
7.875000 1.010427 1.023707
7.925000 1.011861 1.016176
7.975000 1.013421 1.003701
8.025000 1.000621 0.986142
8.075000 0.944140 0.963659
8.125000 0.937259 0.933188
8.175000 0.933617 0.923313
8.225000 0.908408 0.934937
8.275000 0.965330 0.950429
8.325000 0.973456 0.967442
8.375000 0.981358 0.983629
8.425000 0.979947 0.985328
8.475000 0.987930 0.980961
8.525000 0.988337 0.988052
8.575000 0.969098 0.986493
8.625000 1.014751 0.984592
8.675000 0.966408 0.988023
8.725000 0.994485 0.995576
8.775000 1.006229 0.997757
8.825000 1.010548 1.007870
8.875000 1.013908 1.017720
8.925000 1.016179 1.033392
8.975000 1.064281 1.046349
9.025000 1.054073 1.045049
9.075000 1.031278 1.035836
9.125000 1.006310 1.022938
9.175000 1.022745 1.015768
9.225000 1.028703 1.015628
9.275000 1.003184 1.018749
9.325000 1.016701 1.012490
9.375000 1.017389 1.008339
9.425000 1.004383 1.014510
9.475000 1.015915 1.020175
9.525000 1.036503 1.029535
9.575000 1.039513 1.034148
9.625000 1.035172 1.037557
9.675000 1.025871 1.037656
9.725000 1.053058 1.043425
9.775000 1.043327 1.045913
9.825000 1.047605 1.033175
9.875000 1.021982 1.031256
9.925000 1.008150 1.036641
9.975000 1.080149 1.041594
10.025000 1.048167 1.060066
10.075000 1.050518 1.063623
10.125000 1.073887 1.052345
10.175000 1.030969 1.041526
10.225000 1.033457 1.026072
10.275000 0.995729 1.006635
10.325000 1.015600 1.007918
10.375000 1.007153 1.022926
10.425000 1.045856 1.041302
10.475000 1.068106 1.044170
10.525000 1.030974 1.046648
10.575000 1.026731 1.032702
10.625000 1.040305 1.028862
10.675000 1.025200 1.039300
10.725000 1.058122 1.052247
10.775000 1.059344 1.061198
10.825000 1.068966 1.058195
10.875000 1.045638 1.044165
10.925000 1.012337 1.029087
10.975000 1.025773 1.015850
11.025000 1.009464 1.006365
11.075000 1.010301 1.012905
11.125000 1.004119 1.021477
11.175000 1.053557 1.032839
11.225000 1.047955 1.044157
11.275000 1.040838 1.055933
11.325000 1.066105 1.070062
11.375000 1.082414 1.079273
11.425000 1.097651 1.070264
11.475000 1.030326 1.047580
11.525000 1.006138 1.023276
11.575000 1.009756 0.994008
11.625000 0.990069 0.980658
11.675000 0.946497 0.964062
11.725000 0.953270 0.950900
11.775000 0.945878 0.945211
11.825000 0.947421 0.939124
11.875000 0.925595 0.924488
11.925000 0.905999 0.912705
11.975000 0.911998 0.909281
