# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 0.000000
0.675000 0.000000 -0.000110
0.725000 0.000000 -0.000172
0.775000 0.000000 -0.000914
0.825000 0.001153 -0.002495
0.875000 0.003533 -0.001071
0.925000 0.018357 0.011944
0.975000 0.068363 0.057856
1.025000 0.184678 0.189751
1.075000 0.433270 0.461557
1.125000 0.894937 0.914275
1.175000 1.525295 1.553353
1.225000 2.281075 2.298812
1.275000 3.038352 3.009181
1.325000 3.579118 3.554686
1.375000 3.814995 3.789679
1.425000 3.733913 3.678803
1.475000 3.259939 3.268569
1.525000 2.666306 2.672192
1.575000 1.995845 2.018463
1.625000 1.427605 1.437819
1.675000 0.968685 0.983664
1.725000 0.682354 0.694218
1.775000 0.556157 0.558838
1.825000 0.553496 0.562494
1.875000 0.649282 0.647336
1.925000 0.785652 0.765832
1.975000 0.880698 0.877505
2.025000 0.965835 0.965247
2.075000 1.021329 1.024070
2.125000 1.075515 1.063856
2.175000 1.093878 1.100174
2.225000 1.122178 1.136384
2.275000 1.190759 1.178188
2.325000 1.222121 1.227744
2.375000 1.274622 1.276427
2.425000 1.306816 1.302689
2.475000 1.331871 1.322639
2.525000 1.307275 1.325693
2.575000 1.318441 1.303168
2.625000 1.283591 1.274353
2.675000 1.217608 1.247421
2.725000 1.221284 1.206811
2.775000 1.180975 1.167604
2.825000 1.120188 1.134729
2.875000 1.085958 1.087166
2.925000 1.069746 1.060327
2.975000 1.025744 1.046497
3.025000 1.044210 1.029682
3.075000 1.011408 1.004107
3.125000 0.969614 0.972196
3.175000 0.927607 0.929636
3.225000 0.898556 0.905848
3.275000 0.891038 0.892392
3.325000 0.899410 0.889396
3.375000 0.881598 0.893214
3.425000 0.886605 0.884075
3.475000 0.877315 0.861637
3.525000 0.818867 0.826219
3.575000 0.783444 0.785696
3.625000 0.737980 0.742176
3.675000 0.728288 0.714655
3.725000 0.684590 0.699237
3.775000 0.703153 0.707472
3.825000 0.723873 0.721876
3.875000 0.757736 0.740735
3.925000 0.749025 0.754623
3.975000 0.758659 0.773124
4.025000 0.801176 0.790439
4.075000 0.831650 0.822485
4.125000 0.848314 0.867387
4.175000 0.913701 0.914162
4.225000 0.982666 0.966568
4.275000 1.014688 1.015979
4.325000 1.060519 1.067810
4.375000 1.107130 1.120338
4.425000 1.196121 1.171220
4.475000 1.219747 1.225487
4.525000 1.250313 1.267789
4.575000 1.320809 1.305052
4.625000 1.322197 1.329685
4.675000 1.356324 1.340761
4.725000 1.305303 1.319067
4.775000 1.311066 1.298096
4.825000 1.249143 1.263730
4.875000 1.256724 1.244100
4.925000 1.219438 1.236328
4.975000 1.236991 1.242056
5.025000 1.258015 1.231901
5.075000 1.217402 1.222444
5.125000 1.182283 1.195410
5.175000 1.177127 1.169650
5.225000 1.147875 1.147841
5.275000 1.141613 1.139420
5.325000 1.109608 1.130004
5.375000 1.141888 1.117100
5.425000 1.100427 1.098235
5.475000 1.064413 1.083197
5.525000 1.058329 1.050327
5.575000 1.049216 1.035257
5.625000 1.005191 1.032096
5.675000 1.033142 1.030593
5.725000 1.038527 1.016711
5.775000 1.009102 1.004803
5.825000 0.955076 0.982699
5.875000 0.977292 0.969957
5.925000 0.972699 0.964863
5.975000 0.967308 0.967773
6.025000 0.945385 0.950661
6.075000 0.948774 0.938130
6.125000 0.912233 0.925046
6.175000 0.925256 0.917361
6.225000 0.909348 0.916041
6.275000 0.916712 0.913470
6.325000 0.923691 0.911086
6.375000 0.895298 0.920476
6.425000 0.934776 0.925711
6.475000 0.943469 0.928050
6.525000 0.924872 0.934290
6.575000 0.924190 0.932223
6.625000 0.942105 0.934786
6.675000 0.950007 0.946589
6.725000 0.952685 0.960646
6.775000 0.977568 0.977022
6.825000 0.997971 0.999176
6.875000 1.016265 1.006838
6.925000 1.022028 1.013607
6.975000 0.995116 1.024693
7.025000 1.051470 1.038436
7.075000 1.064958 1.056837
7.125000 1.067986 1.071448
7.175000 1.075544 1.076072
7.225000 1.072895 1.082565
7.275000 1.100685 1.085212
7.325000 1.085287 1.090686
7.375000 1.081841 1.092065
7.425000 1.100312 1.086086
7.475000 1.078148 1.078521
7.525000 1.071914 1.075649
7.575000 1.062268 1.077342
7.625000 1.096602 1.082143
7.675000 1.092157 1.085482
7.725000 1.066535 1.076332
7.775000 1.068410 1.062093
7.825000 1.038504 1.049038
7.875000 1.053477 1.039883
7.925000 1.024425 1.037303
7.975000 1.029810 1.027203
8.025000 1.037982 1.016508
8.075000 0.989989 1.020706
8.125000 1.032626 1.031348
8.175000 1.051097 1.037945
8.225000 1.056304 1.047683
8.275000 1.019912 1.034438
8.325000 1.024076 1.018980
8.375000 1.004486 1.003518
8.425000 0.999984 1.001203
8.475000 0.991509 0.999092
8.525000 1.011769 1.005031
8.575000 1.009154 1.008788
8.625000 1.011454 1.011731
8.675000 1.003029 1.007132
8.725000 1.001252 0.989226
8.775000 0.981484 0.978466
8.825000 0.948023 0.980575
8.875000 1.001108 0.981952
8.925000 1.003878 0.987938
8.975000 0.974482 0.989300
9.025000 0.981788 0.981097
9.075000 0.980228 0.984565
9.125000 1.004022 0.998391
9.175000 1.009613 1.013553
9.225000 1.022562 1.020935
9.275000 1.032540 1.020678
9.325000 1.008454 1.023684
9.375000 1.024087 1.025258
9.425000 1.036342 1.023885
9.475000 1.029535 1.031714
9.525000 1.024035 1.038106
9.575000 1.053460 1.046810
9.625000 1.059378 1.048826
9.675000 1.052491 1.054450
9.725000 1.032546 1.048276
9.775000 1.068341 1.051455
9.825000 1.046435 1.058876
9.875000 1.074764 1.069638
9.925000 1.067361 1.068895
9.975000 1.071008 1.066609
10.025000 1.048345 1.046092
10.075000 1.023508 1.024435
10.125000 0.997220 1.001114
10.175000 0.990895 0.989161
10.225000 0.987896 0.994613
10.275000 1.005134 1.010247
10.325000 1.031909 1.014224
10.375000 1.022476 1.018167
10.425000 0.992627 1.012223
10.475000 1.025045 1.014519
10.525000 1.018891 1.029460
10.575000 1.059481 1.052159
10.625000 1.060789 1.060898
10.675000 1.068014 1.061213
10.725000 1.046515 1.045885
10.775000 1.028887 1.039727
10.825000 1.030888 1.032111
10.875000 1.049750 1.037899
10.925000 1.032041 1.042040
10.975000 1.056671 1.050986
11.025000 1.046790 1.058931
11.075000 1.077620 1.061705
11.125000 1.059653 1.055706
11.175000 1.035660 1.051610
11.225000 1.049549 1.049109
11.275000 1.051545 1.047395
11.325000 1.057468 1.046102
11.375000 1.017452 1.028750
11.425000 1.023823 1.018432
11.475000 0.998459 1.011113
11.525000 1.028543 1.018284
11.575000 1.015049 1.018919
11.625000 1.026301 1.019167
11.675000 1.006178 1.009956
11.725000 1.001682 1.006501
11.775000 1.001355 0.995184
11.825000 0.997094 0.994957
11.875000 0.980269 0.993010
11.925000 1.005002 0.992892
11.975000 0.991503 0.995117
