# Delta_Z(A) Density_Raw(g/mL) Density_SG_Filtered(g/mL)
0.025000 0.000000 0.000000
0.075000 0.000000 0.000000
0.125000 0.000000 0.000000
0.175000 0.000000 0.000000
0.225000 0.000000 0.000000
0.275000 0.000000 0.000000
0.325000 0.000000 0.000000
0.375000 0.000000 0.000000
0.425000 0.000000 0.000000
0.475000 0.000000 0.000000
0.525000 0.000000 0.000000
0.575000 0.000000 0.000000
0.625000 0.000000 -0.000059
0.675000 0.000000 -0.000063
0.725000 0.000000 0.000091
0.775000 0.000619 -0.000506
0.825000 0.001588 -0.002063
0.875000 0.003280 -0.001771
0.925000 0.017170 0.009476
0.975000 0.064675 0.057895
1.025000 0.184289 0.190876
1.075000 0.442657 0.459101
1.125000 0.890160 0.915928
1.175000 1.520524 1.556414
1.225000 2.312713 2.318847
1.275000 3.068683 3.061762
1.325000 3.670832 3.627070
1.375000 3.913057 3.881624
1.425000 3.802734 3.776229
1.475000 3.361545 3.339297
1.525000 2.691980 2.696423
1.575000 1.958507 1.982814
1.625000 1.323447 1.347462
1.675000 0.845854 0.874966
1.725000 0.589877 0.586220
1.775000 0.458038 0.455947
1.825000 0.446161 0.447910
1.875000 0.516841 0.517301
1.925000 0.644402 0.644369
1.975000 0.788709 0.787179
2.025000 0.929213 0.912696
2.075000 1.011201 1.004132
2.125000 1.061844 1.068307
2.175000 1.111191 1.113906
2.225000 1.174432 1.174448
2.275000 1.233161 1.244417
2.325000 1.339309 1.328736
2.375000 1.402390 1.417101
2.425000 1.499437 1.493117
2.475000 1.542120 1.527984
2.525000 1.533536 1.530802
2.575000 1.479940 1.489663
2.625000 1.436695 1.430633
2.675000 1.361938 1.364705
2.725000 1.305670 1.305889
2.775000 1.249109 1.254882
2.825000 1.224507 1.226422
2.875000 1.203014 1.204971
2.925000 1.196883 1.184976
2.975000 1.156597 1.159131
3.025000 1.125418 1.134763
3.075000 1.101459 1.101701
3.125000 1.076318 1.059582
3.175000 1.004905 1.006785
3.225000 0.937827 0.950621
3.275000 0.898860 0.897256
3.325000 0.863414 0.862984
3.375000 0.820301 0.821270
3.425000 0.790028 0.769762
3.475000 0.704971 0.723513
3.525000 0.675960 0.685803
3.575000 0.668614 0.654631
3.625000 0.638432 0.633410
3.675000 0.608073 0.610654
3.725000 0.589235 0.600405
3.775000 0.606588 0.609204
3.825000 0.636236 0.624320
3.875000 0.645440 0.635181
3.925000 0.644666 0.654660
3.975000 0.670323 0.689701
4.025000 0.758470 0.745039
4.075000 0.815157 0.808125
4.125000 0.868334 0.865882
4.175000 0.912233 0.919834
4.225000 0.977315 0.987353
4.275000 1.062928 1.051236
4.325000 1.130161 1.120935
4.375000 1.161460 1.181768
4.425000 1.246901 1.237088
4.475000 1.283006 1.285984
4.525000 1.329313 1.324466
4.575000 1.334412 1.327911
4.625000 1.329979 1.328467
4.675000 1.301816 1.328191
4.725000 1.335587 1.317163
4.775000 1.329044 1.314689
4.825000 1.272913 1.305379
4.875000 1.306851 1.282497
4.925000 1.255944 1.257961
4.975000 1.241883 1.248650
5.025000 1.215137 1.229370
5.075000 1.236447 1.212008
5.125000 1.191040 1.190845
5.175000 1.143213 1.164322
5.225000 1.141705 1.122701
5.275000 1.097123 1.093630
5.325000 1.059315 1.079240
5.375000 1.067699 1.066503
5.425000 1.085201 1.071436
5.475000 1.067200 1.076243
5.525000 1.076989 1.073946
5.575000 1.060152 1.060994
5.625000 1.053678 1.045885
5.675000 1.015709 1.023227
5.725000 1.001263 1.001351
5.775000 0.983841 0.980283
5.825000 0.964917 0.967200
5.875000 0.956630 0.957707
5.925000 0.953849 0.956786
5.975000 0.959985 0.959179
6.025000 0.963053 0.955069
6.075000 0.950185 0.951495
6.125000 0.934581 0.947536
6.175000 0.948986 0.938610
6.225000 0.937459 0.928799
6.275000 0.910203 0.920738
6.325000 0.909692 0.913228
6.375000 0.922515 0.917566
6.425000 0.932092 0.937283
6.475000 0.948527 0.949909
6.525000 0.970348 0.952616
6.575000 0.943831 0.953003
6.625000 0.942948 0.952010
6.675000 0.960863 0.953732
6.725000 0.968753 0.966607
6.775000 0.978416 0.984701
6.825000 0.996962 1.000121
6.875000 1.025136 1.014799
6.925000 1.018289 1.019478
6.975000 1.018461 1.015906
7.025000 1.004905 1.011123
7.075000 1.014671 1.018936
7.125000 1.029936 1.029424
7.175000 1.046974 1.036599
7.225000 1.036910 1.036995
7.275000 1.025016 1.035945
7.325000 1.035287 1.031360
7.375000 1.039869 1.033581
7.425000 1.027046 1.032293
7.475000 1.037833 1.035324
7.525000 1.031301 1.039976
7.575000 1.063553 1.054959
7.625000 1.056396 1.065191
7.675000 1.079254 1.065329
7.725000 1.057038 1.057262
7.775000 1.035981 1.045552
7.825000 1.049738 1.046760
7.875000 1.039731 1.052144
7.925000 1.090047 1.063106
7.975000 1.051613 1.074828
8.025000 1.085258 1.081364
8.075000 1.093098 1.080702
8.125000 1.070371 1.082709
8.175000 1.079117 1.067754
8.225000 1.051407 1.061086
8.275000 1.047880 1.051376
8.325000 1.057033 1.038172
8.375000 1.017521 1.033836
8.425000 1.028038 1.029414
8.475000 1.035057 1.027631
8.525000 1.034260 1.036248
8.575000 1.036084 1.034372
8.625000 1.042845 1.046267
8.675000 1.041538 1.051567
8.725000 1.083561 1.055069
8.775000 1.038693 1.059269
8.825000 1.061053 1.064686
8.875000 1.074690 1.065306
8.925000 1.078434 1.079118
8.975000 1.076089 1.082252
9.025000 1.082770 1.078070
9.075000 1.073153 1.068922
9.125000 1.046991 1.050206
9.175000 1.031135 1.028144
9.225000 1.004033 1.007181
9.275000 1.004280 1.004218
9.325000 0.999916 1.016202
9.375000 1.042168 1.027610
9.425000 1.045500 1.030663
9.475000 1.012096 1.032113
9.525000 1.014459 1.015573
9.575000 1.017366 0.999562
9.625000 0.974414 0.985397
9.675000 0.963174 0.960478
9.725000 0.949399 0.949876
9.775000 0.939088 0.952672
9.825000 0.977745 0.965596
9.875000 0.966855 0.971933
9.925000 0.985820 0.968558
9.975000 0.940837 0.951735
10.025000 0.939880 0.942503
10.075000 0.940940 0.944664
10.125000 0.960759 0.964979
10.175000 0.991640 0.980230
10.225000 0.989134 0.983362
10.275000 0.980808 0.985558
10.325000 0.970749 0.988520
10.375000 1.010335 0.993775
10.425000 1.006321 1.001578
10.475000 0.993137 1.002824
10.525000 1.004526 0.996407
10.575000 0.998075 1.007541
10.625000 1.020732 1.028501
10.675000 1.057445 1.041246
10.725000 1.059407 1.054047
10.775000 1.042621 1.058172
10.825000 1.064912 1.060111
10.875000 1.071025 1.070924
10.925000 1.083297 1.087705
10.975000 1.093579 1.090180
11.025000 1.093413 1.081024
11.075000 1.059321 1.065769
11.125000 1.041377 1.051356
11.175000 1.050885 1.046127
11.225000 1.054819 1.058865
11.275000 1.064964 1.061404
11.325000 1.075360 1.060849
11.375000 1.037110 1.060963
11.425000 1.063788 1.053867
11.475000 1.058093 1.051487
11.525000 1.036990 1.048914
11.575000 1.046825 1.035148
11.625000 1.015588 1.022434
11.675000 1.012578 1.007726
11.725000 0.994783 0.998175
11.775000 0.986777 0.996719
11.825000 1.007422 0.991725
11.875000 0.986663 0.989812
11.925000 0.978061 0.985549
11.975000 0.979879 0.976290
